                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.0708,                0.72161,                 1.2028,                0.76814,                0.79615,                0.79729,                0.38109,                 1.8591,                 0.9272,                 2.1327,             0.00077582,             0.00077582,             0.00077582
                    111,                 1.0874,                 0.7524,                  1.215,                0.82298,                0.82781,                0.82987,                0.37521,                 1.8718,                0.94715,                 2.1613,             0.00076757,             0.00076757,             0.00076757
                    112,                 1.0535,                0.73102,                 1.1935,                0.77273,                0.80917,                 0.8063,                0.41021,                 1.8205,                0.91676,                 2.1051,             0.00075932,             0.00075932,             0.00075932
                    113,                  1.084,                0.74582,                 1.2134,                0.85965,                0.80726,                0.83462,                0.39746,                 1.8439,                0.87789,                 2.1175,             0.00075107,             0.00075107,             0.00075107
                    114,                 1.0356,                0.72124,                 1.1813,                0.82523,                0.74877,                 0.7939,                0.36105,                 1.8585,                0.91301,                 2.1309,             0.00074282,             0.00074282,             0.00074282
                    115,                 1.0668,                0.74197,                 1.1889,                0.74405,                0.78448,                0.77346,                0.35233,                 1.9692,                 0.9787,                 2.2328,             0.00073456,             0.00073456,             0.00073456
                    116,                 1.0416,                0.72685,                 1.1758,                0.82585,                0.80552,                0.81871,                0.39248,                 1.8549,                0.94778,                 2.1234,             0.00072631,             0.00072631,             0.00072631
                    117,                 1.0092,                0.69249,                 1.1705,                0.79014,                0.81538,                0.79639,                0.37921,                 1.9021,                0.86289,                 2.1218,             0.00071806,             0.00071806,             0.00071806
                    118,                 1.0154,                0.69447,                 1.1736,                 0.7876,                0.79238,                0.83439,                0.38709,                 1.8683,                0.89162,                 2.1848,             0.00070981,             0.00070981,             0.00070981
                    119,                 1.0158,                0.69249,                 1.1753,                  0.784,                0.81158,                0.78793,                 0.3693,                 1.8914,                0.92029,                  2.174,             0.00070156,             0.00070156,             0.00070156
                    120,                 0.9779,                0.65643,                 1.1463,                0.84567,                0.79504,                0.83067,                0.36461,                 1.9784,                0.97335,                 2.3183,             0.00069331,             0.00069331,             0.00069331
                    121,                0.99486,                0.67306,                  1.163,                0.80679,                0.84231,                0.82695,                0.38046,                 1.9249,                0.95287,                 2.2465,             0.00068505,             0.00068505,             0.00068505
                    122,                      1,                0.69498,                 1.1784,                0.77023,                0.83923,                0.79718,                0.37223,                 1.9109,                0.91862,                 2.1965,              0.0006768,              0.0006768,              0.0006768
